horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,40.8482619735758,-32.141065577361644,113.83758952451325,44.37436034123836,0.014305356073497411,0.5843489325155059,-0.459789387665789,1.6284872526968008,2614,driscoll_kraay,cumulative,hp
1,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,33.18633812236396,-11.41616919369421,77.78884543842213,27.11639904319224,0.014305356073497411,0.474742383615898,-0.1633123653110875,1.1127971325428834,2587,driscoll_kraay,cumulative,hp
2,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,38.53380332264287,-37.64684311331182,114.71444975859755,46.31454446019364,0.014305356073497411,0.5512397773965239,-0.5385514957790194,1.641031050572067,2560,driscoll_kraay,cumulative,hp
3,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,28.176144631954866,-31.830938421251478,88.18322768516121,36.481716105293756,0.014305356073497411,0.403069781738477,-0.4553529082695719,1.2614924717465261,2533,driscoll_kraay,cumulative,hp
4,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,92.87446645768715,34.33727181935404,151.41166109602025,35.588087401323605,0.014305356073497411,1.3286023128133064,0.4912068999683278,2.165997725658285,2506,driscoll_kraay,cumulative,hp
5,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,123.94548335283707,68.36959403028555,179.5213726753886,33.787741603217555,0.014305356073497411,1.7730842730640801,0.9780513872036978,2.5681171589244625,2479,driscoll_kraay,cumulative,hp
6,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,58.56269416168346,6.1983557515669006,110.92703257180003,31.835257284970247,0.014305356073497411,0.8377601926062098,0.08866968609637517,1.5868506991160447,2452,driscoll_kraay,cumulative,hp
7,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,96.68692314638686,-2.8265993884984084,196.20044568127213,60.49992589268932,0.014305356073497411,1.3831408632599427,-0.04043551072959978,2.8067172372494853,2425,driscoll_kraay,cumulative,hp
8,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,92.89244890460044,-5.010505106134218,190.7954029153351,59.5207697551699,0.014305356073497411,1.328859558119474,-0.07167705965132692,2.7293961758902747,2398,driscoll_kraay,cumulative,hp
9,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,125.70437193454354,66.4943421556833,184.91440171340378,35.99714212175739,0.014305356073497411,1.798245800519,0.9512252414100191,2.6452663596279806,2371,driscoll_kraay,cumulative,hp
10,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,87.02076552671198,27.480356228976255,146.5611748244477,36.197998607381464,0.014305356073497411,1.2448630366479434,0.3931162808820579,2.0966097924138287,2344,driscoll_kraay,cumulative,hp
