dataset,response_label,group,direction,term,model_series,linear_sign_assumption,shock_sd_mean,corr_h0_h24,sign_match_share_h0_h24,ci_hit_share_h0_h24,impact_h0_lp,impact_h0_model,peak_h_lp,peak_val_lp,peak_h_model,peak_val_model,h24_lp,h24_model,mean_abs_gap_h0_h24,half_life_lp,half_life_model
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.22368098962434357,0.52,0.56,0.003844544744185,-0.019160240285623433,29,-0.026334317606744,0,-0.019160240285623433,-0.0072795213903107,-0.010893128870443764,0.011336733049090832,3.0,1.0
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,-1.0,0.0115285465340016,-0.18432970202480808,0.52,0.32,-0.0001506999218977006,0.028307462089277112,46,0.0444489250396069,0,0.028307462089277112,0.0109976786246138,0.016093578574015447,0.016652070525945382,18.0,1.0
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.8382491348964914,0.96,0.12,0.00042999910612112895,-0.01765086780579412,24,-0.042945453896272,47,-0.08504330052208803,-0.042945453896272,-0.07083136558156046,0.02769218746851502,,
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,-1.0,0.0135063367525997,0.6072770084429153,0.96,0.0,0.0023135019679142,0.026070924314894436,42,-0.0350464642458301,47,0.12561180990049509,0.0216347820142919,0.10462030487766152,0.06069860715618949,1.0,
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,0.01620092984399424,0.84,0.72,-0.0160633151498368,-0.019160240285623433,17,-0.0339497309833431,0,-0.019160240285623433,0.0060631442752831,-0.010893128870443764,0.008241222290523173,2.0,1.0
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,-1.0,0.0115285465340016,-0.07658896224765933,0.56,0.56,0.0005420658682156112,0.028307462089277112,45,-0.0250988904307515,0,0.028307462089277112,-0.0038755995448703,0.016093578574015447,0.015134554619928377,,1.0
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.1275532112537625,0.48,0.2,-0.0066295712547564,-0.01765086780579412,6,-0.0399033150127451,47,-0.08504330052208803,0.0053756081866794,-0.07083136558156046,0.04902218238834376,2.0,
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,-1.0,0.0135063367525997,0.2441409018595229,1.0,0.32,0.0413165057532263,0.026070924314894436,39,0.0969026949954573,47,0.12561180990049509,0.0326105575482093,0.10462030487766152,0.03990561038409565,2.0,
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.007804617340971099,0.2789759394398528,0.0,0.32,0.0483479483551631,-0.01916363947955275,8,0.6360724223308901,0,-0.01916363947955275,0.3866825838109568,-0.010895061406621586,0.40849855044730604,34.0,1.0
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,cP,-1.0,0.011530562940861399,0.46844826350110236,0.04,0.64,0.0032104263575938,0.028312413221717958,33,-0.4965071765395697,0,0.028312413221717958,-0.1186735052688556,0.016096393430349645,0.257861934153887,,1.0
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.009145853557827,0.24458735644638635,1.0,0.8,-0.0486968576420772,-0.017653999027924475,7,-0.4435586264429097,47,-0.08505838700211628,-0.3094631579151077,-0.07084393089800113,0.21464445748832922,37.0,
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,cW,-1.0,0.0135086976937041,0.3018004237677014,0.96,1.0,0.019707426734624,0.026075481577013112,33,0.5802097682070637,47,0.12563376715586522,0.0937361319453684,0.10463859276598127,0.06578692276371269,35.0,
