horizon,shock_series,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,s_pos_x_ph2m,0.49268614103684494,-0.3182713102626381,1.303643592336328,0.4930271229072768,0.007803232979304636,0.0038445447441850435,-0.0024835451846079155,0.010172634672978003,2641,driscoll_kraay,cumulative,twfe_directional_dummies
1,mp_shock_di,s_pos_x_ph2m,0.4236247451438367,-0.333244097882821,1.1804935881704943,0.4601435839792131,0.007803232979304636,0.003305642582155908,-0.002600381334757851,0.009211666499069666,2614,driscoll_kraay,cumulative,twfe_directional_dummies
2,mp_shock_di,s_pos_x_ph2m,-0.2769976178877555,-1.1275723033429619,0.5735770675674507,0.517112691073697,0.007803232979304636,-0.0021614769470905577,-0.008798709383996291,0.004475755489815175,2587,driscoll_kraay,cumulative,twfe_directional_dummies
3,mp_shock_di,s_pos_x_ph2m,-0.21516344213091068,-0.872171101091481,0.4418442168296597,0.39943229488343657,0.007803232979304636,-0.0016789704675766268,-0.006805754299633482,0.003447813364480229,2560,driscoll_kraay,cumulative,twfe_directional_dummies
4,mp_shock_di,s_pos_x_ph2m,0.2439193673082798,-1.3729887256160096,1.8608274602325692,0.9830103216667518,0.007803232979304636,0.0019033596512710899,-0.01071375090394029,0.014520470206482469,2533,driscoll_kraay,cumulative,twfe_directional_dummies
5,mp_shock_di,s_pos_x_ph2m,0.30287522763537245,-0.9177859953527302,1.523536450623475,0.7421093299653926,0.007803232979304636,0.002363405964898737,-0.007161697946880355,0.01188850987667783,2506,driscoll_kraay,cumulative,twfe_directional_dummies
6,mp_shock_di,s_pos_x_ph2m,0.11141888759563225,-1.106648188042741,1.3294859632340057,0.740532200361139,0.007803232979304636,8.694275382036738e-4,-0.008635433637422835,0.010374288713830183,2479,driscoll_kraay,cumulative,twfe_directional_dummies
7,mp_shock_di,s_pos_x_ph2m,0.39431284310824105,-0.6983738583746499,1.486999544591132,0.6643063453056597,0.007803232979304636,0.0030769149815056012,-0.005449573923553294,0.011603403886564495,2452,driscoll_kraay,cumulative,twfe_directional_dummies
8,mp_shock_di,s_pos_x_ph2m,-0.4094349127500912,-1.826092496326788,1.0072226708266057,0.8612666564150713,0.007803232979304636,-0.003194916014050228,-0.01424942519059792,0.007859593162497467,2425,driscoll_kraay,cumulative,twfe_directional_dummies
9,mp_shock_di,s_pos_x_ph2m,0.8325755877004528,-0.7765434915498983,2.441694666950804,0.9782749375898269,0.007803232979304636,0.006496781283708113,-0.006059549783126538,0.019053112350542762,2398,driscoll_kraay,cumulative,twfe_directional_dummies
10,mp_shock_di,s_pos_x_ph2m,-0.24385454468392304,-1.7657682163974033,1.2780591270295572,0.925257814298136,0.007803232979304636,-0.0019028538252309042,-0.013778700780000142,0.009972993129538333,2371,driscoll_kraay,cumulative,twfe_directional_dummies
11,mp_shock_di,s_pos_x_ph2m,-0.5628000858391901,-2.4139264732709336,1.2883263015925532,1.1254049339712813,0.007803232979304636,-0.004391660190575848,-0.01883643066584428,0.010053110284692583,2344,driscoll_kraay,cumulative,twfe_directional_dummies
12,mp_shock_di,s_pos_x_ph2m,0.6942816772330193,-1.7469618527593895,3.135525207225428,1.4841706824192893,0.007803232979304636,0.005417641680711633,-0.013631950343039198,0.024467233704462462,2317,driscoll_kraay,cumulative,twfe_directional_dummies
13,mp_shock_di,s_pos_x_ph2m,0.5648179307234675,-1.410333940520516,2.539969801967451,1.200807074186095,0.007803232979304636,0.004407405904323963,-0.011005164316502353,0.01981997612515028,2290,driscoll_kraay,cumulative,twfe_directional_dummies
14,mp_shock_di,s_pos_x_ph2m,-0.4148305172489731,-2.2584054090507895,1.4287443745528432,1.1208139506119152,0.007803232979304636,-0.0032370191730191874,-0.017622863568545095,0.01114882522250672,2263,driscoll_kraay,cumulative,twfe_directional_dummies
15,mp_shock_di,s_pos_x_ph2m,0.8691577785304638,-0.7888362086427794,2.527151765703707,1.0079887717706077,0.007803232979304636,0.00678224064164807,-0.006155472718550968,0.01971995400184711,2236,driscoll_kraay,cumulative,twfe_directional_dummies
16,mp_shock_di,s_pos_x_ph2m,-0.3364554700978287,-3.02957827236879,2.356667332173133,1.6373024068180002,0.007803232979304636,-0.002625440420334822,-0.023640505088332906,0.01838962424766326,2209,driscoll_kraay,cumulative,twfe_directional_dummies
17,mp_shock_di,s_pos_x_ph2m,0.2611873394170817,-2.399850626746155,2.922225305580318,1.6177962115055393,0.007803232979304636,0.002038105660716206,-0.018726593556030496,0.022802804877462904,2182,driscoll_kraay,cumulative,twfe_directional_dummies
18,mp_shock_di,s_pos_x_ph2m,0.3536634655039637,-2.1645896748773708,2.8719166058852985,1.5309892011781006,0.007803232979304636,0.002759718417595697,-0.016890797537665397,0.022410234372856795,2155,driscoll_kraay,cumulative,twfe_directional_dummies
