dataset,response_label,group,direction,term,model_series,linear_sign_assumption,shock_sd_mean,corr_h0_h24,sign_match_share_h0_h24,ci_hit_share_h0_h24,impact_h0_lp,impact_h0_model,peak_h_lp,peak_val_lp,peak_h_model,peak_val_model,h24_lp,h24_model,mean_abs_gap_h0_h24,half_life_lp,half_life_model
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.42675715883123144,0.52,0.0,0.003844544744185,-0.05102598291170598,29,-0.026334317606744,2,-0.05492117991973594,-0.0072795213903107,-0.051694295704903206,0.050615827667963006,3.0,
lp_controls,consumption,PH2M,expansionary,mp_neg_x_ph2m,cP,-1.0,0.0115285465340016,-0.5458814414418313,0.52,0.0,-0.0001506999218977006,0.07538611496041688,46,0.0444489250396069,2,0.0811409040440281,0.0109976786246138,0.0763734845745341,0.07772353431334111,18.0,
lp_controls,consumption,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,0.845669204701111,0.96,0.0,0.00042999910612112895,-0.04315983718009045,24,-0.042945453896272,47,-0.2561903448489632,-0.042945453896272,-0.21584208974241803,0.12755684512189414,,
lp_controls,consumption,WH2M,expansionary,mp_neg_x_wh2m,cW,-1.0,0.0135063367525997,0.6041501589839507,0.96,0.0,0.0023135019679142,0.06374852845455782,42,-0.0350464642458301,47,0.3784017400306811,0.0216347820142919,0.31880601268771797,0.20820205911448003,1.0,
lp_income,income,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0.0078032329793046,-0.1509182540313565,0.84,0.0,-0.0160633151498368,-0.05102598291170598,17,-0.0339497309833431,2,-0.05492117991973594,0.0060631442752831,-0.051694295704903206,0.04313680121725632,2.0,
lp_income,income,PH2M,expansionary,mp_neg_x_ph2m,cP,-1.0,0.0115285465340016,0.2786734120019309,0.56,0.0,0.0005420658682156112,0.07538611496041688,45,-0.0250988904307515,2,0.0811409040440281,-0.0038755995448703,0.0763734845745341,0.07618833914897091,,
lp_income,income,WH2M,contractionary,mp_pos_x_wh2m,cW,1.0,0.0091442313928424,-0.13049832055228539,0.48,0.0,-0.0066295712547564,-0.04315983718009045,6,-0.0399033150127451,47,-0.2561903448489632,0.0053756081866794,-0.21584208974241803,0.14863549443836357,2.0,
lp_income,income,WH2M,expansionary,mp_neg_x_wh2m,cW,-1.0,0.0135063367525997,0.23863924604365155,1.0,0.04,0.0413165057532263,0.06374852845455782,39,0.0969026949954573,47,0.3784017400306811,0.0326105575482093,0.31880601268771797,0.18529538295282702,2.0,
lp_wealth,wealth,PH2M,contractionary,mp_pos_x_ph2m,wP,1.0,0.007804617340971099,-0.1215145996702284,0.0,0.24,0.0483479483551631,-0.05103503536662124,8,0.6360724223308901,2,-0.05493092341661235,0.3866825838109568,-0.051703466724343526,0.44984282605983233,34.0,
lp_wealth,wealth,PH2M,expansionary,mp_neg_x_ph2m,wP,-1.0,0.011530562940861399,0.18075402471415794,0.04,0.12,0.0032104263575938,0.075399300410889,33,-0.4965071765395697,2,0.08115509603909374,-0.1186735052688556,0.07638684272143914,0.3189440796797096,,
lp_wealth,wealth,WH2M,contractionary,mp_pos_x_wh2m,wW,1.0,0.009145853557827,0.2562151654410049,1.0,0.96,-0.0486968576420772,-0.04316749363295202,7,-0.4435586264429097,47,-0.2562357924091739,-0.3094631579151077,-0.2158803796177658,0.13161704983864156,37.0,
lp_wealth,wealth,WH2M,expansionary,mp_neg_x_wh2m,wW,-1.0,0.0135086976937041,0.30742117921950374,0.96,0.96,0.019707426734624,0.06375967185516526,33,0.5802097682070637,47,0.3784678855917151,0.0937361319453684,0.3188617407680607,0.10485254338858002,35.0,
